key,text:fa,ipa:fa,audio:fa,audio source:fa,tags:fa
alive,زنده,/zende/,[sound:al_fa_ir_alive.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
April,آوریل,/ɒːvɾil/,[sound:al_fa_ir_april.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
art,هنر,/honæɾ/,[sound:al_fa_ir_art.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
August,اوت,/ut/,[sound:al_fa_ir_august.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
bad,بد,/bæd/,[sound:al_fa_ir_bad.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
beautiful,زیبا,/zibɒː/,[sound:al_fa_ir_beautiful.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
beer,آبجو,/ɒːbd͡ʒu/,[sound:al_fa_ir_beer.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
big / large,بزرگ,/bozoɾg/,[sound:al_fa_ir_big_large.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
black,سیاه,/sijɒːh/,[sound:al_fa_ir_black.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
blind,کور,/kuɾ/,[sound:al_fa_ir_blind.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
blood,خون,/xun/,[sound:al_fa_ir_blood.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
blue,آبی,/ɒːbi/,[sound:al_fa_ir_blue.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
breakfast,صبحانه,/sobhɒːne/,[sound:al_fa_ir_breakfast.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
brown,قهوه‌ای,/ɢæhveʔi/,[sound:al_fa_ir_brown.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
cheap,ارزان,/æɾzɒːn/,[sound:al_fa_ir_cheap.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
clay,خاک رس,/xɒːke ɾes/,[sound:al_fa_ir_clay.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
clean,تمیز,/tæmiz/,[sound:al_fa_ir_clean.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
coffee,قهوه,/ɢæhve/,[sound:al_fa_ir_coffee.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
cold,سرد,/særd/,[sound:al_fa_ir_cold.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
cool,خنک,/xonæk/,[sound:al_fa_ir_cool.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
copper,مس,/mes/,[sound:al_fa_ir_copper.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
curved,منحنی,/monhæni/,[sound:al_fa_ir_curved.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dark,تاریک,/tɒːɾik/,,,AnkiLangs::FA
dark blue,سرمه‌ای,/soɾmeʔi/,,,AnkiLangs::FA
dead,مرده,/moɾde/,,,AnkiLangs::FA
deaf,کر,/kæɾ/,,,AnkiLangs::FA
death,مرگ,/mæɾg/,,,AnkiLangs::FA
December,دسامبر,/desɒːmbɾ/,[sound:al_fa_ir_december.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
deep,عمیق,/ʔæmiɢ/,,,AnkiLangs::FA
diamond,الماس,/ælmɒːs/,,,AnkiLangs::FA
dinner,شام,/ʃɒːm/,,,AnkiLangs::FA
dirty,کثیف,/kæsif/,,,AnkiLangs::FA
disease,بیماری,/bimɒːɾi/,,,AnkiLangs::FA
down,پایین,/pɒːjin/,,,AnkiLangs::FA
dry,خشک,/xoʃk/,,,AnkiLangs::FA
dust,گرد و خاک,/gæɾdo xɒːk/,,,AnkiLangs::FA
Earth,زمین,/zæmin/,[sound:al_fa_ir_earth.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
eight (8),هشت,/hæʃt/,,,AnkiLangs::FA
eighteen (18),هجده,/hid͡ʒdæh/,,,AnkiLangs::FA
eighty (80),هشتاد,/hæʃtɒːd/,,,AnkiLangs::FA
