key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: Achernar
April,Audio:<br>Google Cloud TTS<br>Voice: Achernar
art,Audio:<br>Google Cloud TTS<br>Voice: Achernar
August,Audio:<br>Google Cloud TTS<br>Voice: Achernar
bad,Audio:<br>Google Cloud TTS<br>Voice: Achernar
beautiful,Audio:<br>Google Cloud TTS<br>Voice: Achird
beer,Audio:<br>Google Cloud TTS<br>Voice: Achernar
big / large,Audio:<br>Google Cloud TTS<br>Voice: Achernar
black,Audio:<br>Google Cloud TTS<br>Voice: Achernar
blind,Audio:<br>Google Cloud TTS<br>Voice: Achernar
blood,Audio:<br>Google Cloud TTS<br>Voice: Achernar
blue,Audio:<br>Google Cloud TTS<br>Voice: Achird
breakfast,Audio:<br>Google Cloud TTS<br>Voice: Achernar
brown,Audio:<br>Google Cloud TTS<br>Voice: Achernar
cheap,Audio:<br>Google Cloud TTS<br>Voice: Achernar
clay,Audio:<br>Google Cloud TTS<br>Voice: Achird
clean,Audio:<br>Google Cloud TTS<br>Voice: Achernar
coffee,Audio:<br>Google Cloud TTS<br>Voice: Achernar
cold,Audio:<br>Google Cloud TTS<br>Voice: Achernar
cool,Audio:<br>Google Cloud TTS<br>Voice: Achernar
copper,Audio:<br>Google Cloud TTS<br>Voice: Achernar
curved,Audio:<br>Google Cloud TTS<br>Voice: Achird
dark,Audio:<br>Google Cloud TTS<br>Voice: Achernar
dark blue,Audio:<br>Google Cloud TTS<br>Voice: Achernar
dead,Audio:<br>Google Cloud TTS<br>Voice: Achernar
deaf,Audio:<br>Google Cloud TTS<br>Voice: Achernar
death,Audio:<br>Google Cloud TTS<br>Voice: Achird
December,Audio:<br>Google Cloud TTS<br>Voice: Achird
deep,Audio:<br>Google Cloud TTS<br>Voice: Achernar
diamond,Audio:<br>Google Cloud TTS<br>Voice: Achernar
dinner,Audio:<br>Google Cloud TTS<br>Voice: Achernar
dirty,Audio:<br>Google Cloud TTS<br>Voice: Achernar
disease,Audio:<br>Google Cloud TTS<br>Voice: Achernar
down,Audio:<br>Google Cloud TTS<br>Voice: Achird
dry,Audio:<br>Google Cloud TTS<br>Voice: Achernar
dust,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: Achernar"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: Achernar
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: Achernar
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: Achernar
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: Achernar
eighty-two (82),Audio:<br>Google Cloud TTS<br>Voice: Achernar
eleven (11),Audio:<br>Google Cloud TTS<br>Voice: Achird
energy,Audio:<br>Google Cloud TTS<br>Voice: Achernar
exercise,Audio:<br>Google Cloud TTS<br>Voice: Achird
expensive,Audio:<br>Google Cloud TTS<br>Voice: Achird
famous,Audio:<br>Google Cloud TTS<br>Voice: Achernar
fast,Audio:<br>Google Cloud TTS<br>Voice: Achernar
February,Audio:<br>Google Cloud TTS<br>Voice: Achernar
female,Audio:<br>Google Cloud TTS<br>Voice: Achird
fifteen (15),Audio:<br>Google Cloud TTS<br>Voice: Achird
fifth (5th),Audio:<br>Google Cloud TTS<br>Voice: Achird
fifty (50),Audio:<br>Google Cloud TTS<br>Voice: Achernar
fifty-one (51),Audio:<br>Google Cloud TTS<br>Voice: Achernar
fifty-two (52),Audio:<br>Google Cloud TTS<br>Voice: Achird
first (1st),Audio:<br>Google Cloud TTS<br>Voice: Achernar
five (5),Audio:<br>Google Cloud TTS<br>Voice: Achernar
flat,Audio:<br>Google Cloud TTS<br>Voice: Achernar
food,Audio:<br>Google Cloud TTS<br>Voice: Achernar
forty (40),Audio:<br>Google Cloud TTS<br>Voice: Achird
forty-one (41),Audio:<br>Google Cloud TTS<br>Voice: Achernar
forty-two (42),Audio:<br>Google Cloud TTS<br>Voice: Achernar
four (4),Audio:<br>Google Cloud TTS<br>Voice: Achernar
fourteen (14),Audio:<br>Google Cloud TTS<br>Voice: Achernar
fourth (4th),Audio:<br>Google Cloud TTS<br>Voice: Achernar
Friday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
glass,Audio:<br>Google Cloud TTS<br>Voice: Achird
God,Audio:<br>Google Cloud TTS<br>Voice: Achernar
gold,Audio:<br>Google Cloud TTS<br>Voice: Achernar
good,Audio:<br>Google Cloud TTS<br>Voice: Achernar
gray,Audio:<br>Google Cloud TTS<br>Voice: Achernar
green,Audio:<br>Google Cloud TTS<br>Voice: Achernar
happy,Audio:<br>Google Cloud TTS<br>Voice: Achernar
hard,Audio:<br>Google Cloud TTS<br>Voice: Achernar
he,Audio:<br>Google Cloud TTS<br>Voice: Achernar
