key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: Achernar
April,Audio:<br>Google Cloud TTS<br>Voice: Achernar
August,Audio:<br>Google Cloud TTS<br>Voice: Achernar
December,Audio:<br>Google Cloud TTS<br>Voice: Achird
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: Achernar"
February,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Friday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
God,Audio:<br>Google Cloud TTS<br>Voice: Achernar
I,Audio:<br>Google Cloud TTS<br>Voice: Achernar
January,Audio:<br>Google Cloud TTS<br>Voice: Achird
July,Audio:<br>Google Cloud TTS<br>Voice: Achernar
June,Audio:<br>Google Cloud TTS<br>Voice: Achernar
March,Audio:<br>Google Cloud TTS<br>Voice: Achernar
May,Audio:<br>Google Cloud TTS<br>Voice: Achird
Monday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
November,Audio:<br>Google Cloud TTS<br>Voice: Achernar
October,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Saturday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
September,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Sunday,Audio:<br>Google Cloud TTS<br>Voice: Achird
the car,"Picture:<br><a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a>"
Thursday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Tuesday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Wednesday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
